coin,ticker,event_ticker,rank,favored_side,entry_price,opened_at,result,won,pnl,closed_at
HYPE,KXHYPED-26SEP2117-T95.9999,KXHYPED-26SEP2117,9,no,0.95,2026-09-21T16:39:16.817378+00:00,no,True,0.05,2026-09-21T23:33:15.536491+00:00
HYPE,KXHYPED-26SEP2117-T94.9999,KXHYPED-26SEP2117,8,no,0.88,2026-09-21T16:39:16.817425+00:00,no,True,0.12,2026-09-21T23:33:15.536540+00:00
HYPE,KXHYPED-26SEP2117-T91.9999,KXHYPED-26SEP2117,5,yes,0.76,2026-09-21T16:39:16.817486+00:00,yes,True,0.24,2026-09-21T23:33:15.536572+00:00
XRP,KXXRPD-26SEP2117-T1.5799,KXXRPD-26SEP2117,10,no,0.96,2026-09-21T16:39:16.998620+00:00,no,True,0.04,2026-09-21T23:33:15.536646+00:00
XRP,KXXRPD-26SEP2117-T1.5599,KXXRPD-26SEP2117,8,no,0.96,2026-09-21T16:39:16.998679+00:00,no,True,0.04,2026-09-21T23:33:15.536675+00:00
HYPE,KXHYPED-26SEP2117-T93.9999,KXHYPED-26SEP2117,9,no,0.8,2026-09-21T20:35:04.145495+00:00,no,True,0.1999999999999999,2026-09-21T23:33:15.536727+00:00
SOL,KXSOLD-26SEP2117-T119.9999,KXSOLD-26SEP2117,7,no,0.96,2026-09-21T20:35:04.248367+00:00,no,True,0.04,2026-09-21T23:33:15.536756+00:00
XRP,KXXRPD-26SEP2117-T1.5999,KXXRPD-26SEP2117,8,no,0.99,2026-09-21T20:35:04.483846+00:00,no,True,0.01,2026-09-21T23:33:15.536784+00:00
DOGE,KXDOGED-26SEP2117-T0.1399999,KXDOGED-26SEP2117,6,no,0.99,2026-09-21T20:35:04.613998+00:00,no,True,0.01,2026-09-21T23:33:15.536858+00:00
DOGE,KXDOGED-26SEP2117-T0.1099999,KXDOGED-26SEP2117,5,no,0.96,2026-09-21T20:35:04.614054+00:00,no,True,0.04,2026-09-21T23:33:15.536885+00:00
HYPE,KXHYPED-26SEP2120-T94.7499,KXHYPED-26SEP2120,8,no,0.98,2026-09-21T23:33:15.684362+00:00,no,True,0.02,2026-09-22T01:47:53.147069+00:00
HYPE,KXHYPED-26SEP2120-T94.4999,KXHYPED-26SEP2120,6,no,0.98,2026-09-21T23:33:15.684388+00:00,no,True,0.02,2026-09-22T01:47:53.147131+00:00
HYPE,KXHYPED-26SEP2120-T94.2499,KXHYPED-26SEP2120,5,no,0.96,2026-09-21T23:33:15.684413+00:00,no,True,0.04,2026-09-22T01:47:53.147175+00:00
HYPE,KXHYPED-26SEP2120-T93.2499,KXHYPED-26SEP2120,7,yes,0.87,2026-09-21T23:33:15.684437+00:00,yes,True,0.13,2026-09-22T01:47:53.147214+00:00
